season_year,date,opponent,venue,result,score,notes,home_away,competition
2007.0,2007-08-25,Howards Grove,Neutral,W,2-0,Sheboygan South Invite,,Non-Conference
2007.0,2007-08-25,Kiel,Neutral,W,1-0,Sheboygan South Invite,,Non-Conference
2007.0,2007-08-25,Sauk Prairie,Neutral,L,0-1,Sheboygan South Invite,,Non-Conference
2007.0,2007-08-27,Clintonville,Away,W,3-0,,,Non-Conference
2007.0,2007-08-28,West De Pere,Away,L,1-3,,,Bay Conference
2007.0,2007-08-30,Kaukauna,Home,L,1-8,,,Non-Conference
2007.0,2007-09-04,Luxemburg-Casco,Home,L,1-3,,,Bay Conference
2007.0,2007-09-06,Marinette,Away,W,2-1,,,Bay Conference
2007.0,2007-09-11,New London,Home,T,1-1,,,Bay Conference
2007.0,2007-09-13,Seymour,Away,W,2-1,,,Bay Conference
2007.0,2007-09-15,Howards Grove,Neutral,T,1-1,St. Mary Central Invite ,,Non-Conference
2007.0,2007-09-15,Milwaukee Ronald Reagan,Neutral,W,3-1,St. Mary Central Invite ,,Non-Conference
2007.0,2007-09-15,Oshkosh Lourdes,Neutral,T,2-2,St. Mary Central Invite ,,Non-Conference
2007.0,2007-09-18,Shawano,Home,L,1-3,,,Bay Conference
2007.0,2007-09-20,West De Pere,Home,W,2-1,,,Bay Conference
2007.0,2007-09-22,Little Chute,Away,L,0-1,Little Chute Quad,,Non-Conference
2007.0,2007-09-22,Marinette,Neutral,W,1-0,Little Chute Quad - Played Conference team in Non-Conference meeting,,Non-Conference
2007.0,2007-09-22,Seymour,Neutral,L,1-3,Little Chute Quad - Played Conference team in Non-Conference meeting,,Non-Conference
2007.0,2007-09-27,Luxemburg-Casco,Away,L,1-6,,,Bay Conference
2007.0,2007-10-02,Marinette,Home,W,1-0,,,Bay Conference
2007.0,2007-10-04,New London,Away,L,1-2,,,Bay Conference
2007.0,2007-10-09,Seymour,Home,W,3-2,,,Bay Conference
2007.0,2007-10-11,Shawano,Away,L,0-1,,,Bay Conference
2007.0,2007-10-18,Neenah,Away,L,0-10,,,Post Season
2006.0,2006-08-22,Winneconne,Away,T,2-2,,,Non-Conference
2006.0,2006-08-26,Beaver Dam,Neutral,L,0-7,Sheboygan South Invite,,Non-Conference
2006.0,2006-08-26,Howards Grove,Neutral,L,0-5,Sheboygan South Invite,,Non-Conference
2006.0,2006-08-26,Menasha,Neutral,L,0-4,Sheboygan South Invite,,Non-Conference
2006.0,2006-08-29,Clintonville,Home,T,1-1,,,Eastern Valley Conference
2006.0,2006-08-31,Berlin,Away,L,0-4,,,Non-Conference
2006.0,2006-09-05,Freedom,Away,W,4-2,,,Eastern Valley Conference
2006.0,2006-09-12,Waupaca,Home,L,1-7,,,Eastern Valley Conference
2006.0,2006-09-16,New Holstein,Neutral,L,1-4,St. Mary Central Invite ,,Non-Conference
2006.0,2006-09-16,Newman Catholic,Neutral,T,1-1,St. Mary Central Invite ,,Non-Conference
2006.0,2006-09-16,Oshkosh Lourdes,Neutral,T,1-1,St. Mary Central Invite ,,Non-Conference
2006.0,2006-09-19,Little Chute,Away,L,3-4,,,Eastern Valley Conference
2006.0,2006-09-26,Xavier,Home,L,1-5,,,Eastern Valley Conference
2006.0,2006-09-30,Kaukauna,Away,L,0-3,Kaukauna Invite,,Non-Conference
2006.0,2006-09-30,Pulaski,Neutral,L,0-3,Kaukauna Invite,,Non-Conference
2006.0,2006-09-30,Wausau East,Neutral,L,0-3,Kaukauna Invite,,Non-Conference
2006.0,2006-10-03,Fox Valley Lutheran,Away,L,0-7,,,Eastern Valley Conference
2006.0,2006-10-10,Seymour,Away,T,1-1,,,Eastern Valley Conference
2006.0,2006-10-12,Freedom,Home,L,0-3,,,Eastern Valley Conference
2006.0,2006-10-14,Clintonville,Away,L,1-2,,,Eastern Valley Conference
2006.0,2006-10-16,Omro,Home,L,0-1,,,Non-Conference
2006.0,2006-10-19,Appleton East,Away,L,,,,Post Season
2005.0,2005-08-30,Seymour,Away,W,9-2,,,Eastern Valley Conference
2005.0,2005-09-02,Berlin,Home,W,6-1,,,Non-Conference
2005.0,2005-09-07,Ripon,Away,W,6-1,,,Eastern Valley Conference
2005.0,2005-09-14,New London,Home,W,2-1,,,Eastern Valley Conference
2005.0,2005-09-18,Antigo,Away,L,1-2,,,Non-Conference
2005.0,2005-09-18,Merrill,Neutral,W,3-1,,,Non-Conference
2005.0,2005-09-21,Xavier,Home,L,0-3,,,Eastern Valley Conference
2005.0,2005-09-23,Berlin,Away,L,3-6,,,Non-Conference
2005.0,2005-09-30,Clintonville,Home,W,9-1,,,Eastern Valley Conference
2005.0,2005-10-04,Fox Valley Lutheran,Away,L,3-4,,,Eastern Valley Conference
2005.0,2005-10-11,Waupaca,Home,L,0-4,,,Eastern Valley Conference
2005.0,2005-10-13,Little Chute,Away,L,1-3,,,Eastern Valley Conference
2005.0,2005-10-18,Appleton West,Away,L,0-6,,,Post Season
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
,,,,NAN,,,,
